STORE,REF,ACCOUNT,PO,CUSTOMER,ORDER DATE,ORDER AGE IN DAYS,VALUE,SHIP VIA,DATA REFRESH,order_status
BP,108734767,902590,256022353,Rock Auto,2023-11-05,1,160.77,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734768,902590,256022602,Rock Auto,2023-11-05,1,460.5,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734770,902590,256022853,Rock Auto,2023-11-05,1,91.8,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734771,902590,256022933,Rock Auto,2023-11-05,1,280.22,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734779,902760,3827955,Turn 5 Inc,2023-11-05,1,449.7,FDXHD,2023-11-06,[b] errored out in bp
BP,108734797,902590,256023211,Rock Auto,2023-11-05,1,73.14,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734798,902590,256023372,Rock Auto,2023-11-05,1,60.72,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734799,902590,256023540,Rock Auto,2023-11-05,1,46.2,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734800,902590,256023776,Rock Auto,2023-11-05,1,168.42,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734802,902590,256023812,Rock Auto,2023-11-05,1,220.43,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734803,902590,256023997,Rock Auto,2023-11-05,1,65.69,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734804,902590,256023973,Rock Auto,2023-11-05,1,70.99,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734805,902590,255332188,Rock Auto,2023-11-05,1,10.83,UPSG,2023-11-06,[r] rock auto sales PO
BP,108734806,902590,256024396,Rock Auto,2023-11-05,1,67.84,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734808,902590,256024433,Rock Auto,2023-11-05,1,49.45,UPSG,2023-11-06,[r] rock auto sales PO
BP,108734809,902590,256024413,Rock Auto,2023-11-05,1,158.45,UPSG,2023-11-06,[r] rock auto sales PO
BP,108734810,902590,256024501,Rock Auto,2023-11-05,1,71.74,DHL,2023-11-06,[r] rock auto sales PO
BP,108734811,902590,256024549,Rock Auto,2023-11-05,1,56.87,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734812,902590,256024623,Rock Auto,2023-11-05,1,219.91,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734814,902590,256024782,Rock Auto,2023-11-05,1,81.45,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734815,902590,256024755,Rock Auto,2023-11-05,1,83.63,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734816,902590,256025001,Rock Auto,2023-11-05,1,115.82,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734817,902590,256024809,Rock Auto,2023-11-05,1,59.74,FDXE,2023-11-06,[r] rock auto sales PO
BP,108734818,902590,256025095,Rock Auto,2023-11-05,1,166.13,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734819,902590,256025230,Rock Auto,2023-11-05,1,114.51,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734820,902590,256025355,Rock Auto,2023-11-05,1,395.64,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734821,902590,256025314,Rock Auto,2023-11-05,1,106.45,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734822,902590,256025505,Rock Auto,2023-11-05,1,221.44,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734823,902590,256025410,Rock Auto,2023-11-05,1,22.7,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734825,902590,256025729,Rock Auto,2023-11-05,1,95.67,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734826,902590,256025863,Rock Auto,2023-11-05,1,92.21,FDXG,2023-11-06,[r] rock auto sales PO
BP,108734841,903265,91614024,AutoZone,2023-11-05,1,604.06,FDXG,2023-11-06,[n] open in bp numina
