STORE,REF,CUSTOMER,ITEM,LOCATION,SHORT DATE,SHORT REPLEN DATE,ORDER AGE IN DAYS,VALUE,item status
BP,108660472,Jegs,JBR1908XL                       ,E142D                           ,2023-09-29,,1,234.77,oos?
BP,108660472,Jegs,JBR1908XR                       ,E142D                           ,2023-09-29,,1,234.77,oos?
BP,108660472,Jegs,JBR1909XL                       ,E142C                           ,2023-09-29,,1,234.77,oos?
BP,108660472,Jegs,JBR1909XR                       ,E142C                           ,2023-09-29,,1,234.77,oos?
BP,108659057,Summit Racing,S1734                           ,S331D                           ,2023-09-29,,1,246.67,oos?
BP,108659091,Auto Customs,S4746                           ,T251F                           ,2023-09-29,,1,363.94,oos?
BP,108659091,Auto Customs,S4796                           ,T481C                           ,2023-09-29,,1,363.94,oos?
BP,108659816,Carparts.com,B637                            ,K581D                           ,2023-09-29,2023-08-29,1,86.0,replenished
BP,108659876,Jegs,BH00076                         ,B255F                           ,2023-09-29,,1,97.69,oos?
BP,108657463,AutoZone,JBR737XPR                       ,H201B                           ,2023-09-28,,2,97.45,oos?
BP,108657032,Turn14 Distribution,BH00103                         ,B256H                           ,2023-09-28,,2,84.33,oos?
BP,108656531,Walmart,AR85153EVC                      ,R022B                           ,2023-09-29,,2,601.83,oos?
BP,108656531,Walmart,AR85155EVC                      ,U471A                           ,2023-09-29,,2,601.83,oos?
BP,108653888,Turn14 Distribution,S1734                           ,S331D                           ,2023-09-27,,3,217.62,oos?
BP,108655612,Turn 5 Inc,AR82113XL                       ,J501D                           ,2023-09-27,,3,396.21,oos?
BP,108655612,Turn 5 Inc,AR82113XR                       ,J501D                           ,2023-09-27,,3,396.21,oos?
BP,108655956,AutoZone,Z23-2176                        ,M282F                           ,2023-09-28,,3,221.64,oos?
BP,108658898,Turn 5 Inc,BH00116                         ,B257F                           ,2023-09-29,,3,72.97,oos?
BP,108659046,Summit Racing,S2614C                          ,T071C                           ,2023-09-29,,4,140.34,oos?
BP,108652000,Turn14 Distribution,BH00130                         ,B257K                           ,2023-09-26,,4,91.78,oos?
BP,108652006,Turn14 Distribution,AR84103XL                       ,V263C                           ,2023-09-26,,4,450.31,oos?
BP,108652006,Turn14 Distribution,AR84103XR                       ,V263C                           ,2023-09-26,,4,450.31,oos?
BP,108652006,Turn14 Distribution,AR84104XL                       ,V263B                           ,2023-09-26,,4,450.31,oos?
BP,108652006,Turn14 Distribution,AR84104XR                       ,V263B                           ,2023-09-26,,4,450.31,oos?
BP,108652109,Turn14 Distribution,BKT15016BBK                     ,S104I                           ,2023-09-26,,4,537.57,oos?
BP,108652084,Turn14 Distribution,JBR1783EVC                      ,U323A                           ,2023-09-26,,4,74.99,oos?
BP,108652289,ECS Tuning LLC,Z23-1007                        ,M803C                           ,2023-09-26,,4,45.87,oos?
BP,108652373,Turn14 Distribution,BH00127                         ,B257H                           ,2023-09-26,,4,61.6,oos?
BP,108651754,Turn14 Distribution,BH00127                         ,B257H                           ,2023-09-26,2023-08-01,5,61.6,replenished
BP,108651758,Turn14 Distribution,BH00045                         ,B254B                           ,2023-09-26,2023-08-01,5,242.58,replenished
BP,108651758,Turn14 Distribution,BH00127                         ,B257H                           ,2023-09-26,2023-08-01,5,242.58,replenished
BP,108651721,Turn14 Distribution,S1734                           ,S331D                           ,2023-09-26,,5,108.81,oos?
BP,108651722,Turn14 Distribution,S1734                           ,S331D                           ,2023-09-26,,5,108.81,oos?
BP,108651750,Turn14 Distribution,BH00021                         ,B252F                           ,2023-09-26,,5,93.13,oos?
BP,108651720,Turn14 Distribution,S1734                           ,S331D                           ,2023-09-26,,5,108.81,oos?
BP,108649223,Jegs,AR86004XL                       ,V262C                           ,2023-09-25,,5,311.57,oos?
BP,108649223,Jegs,AR86004XR                       ,V262C                           ,2023-09-25,,5,311.57,oos?
BP,108649121,Jegs,S5486                           ,T301E                           ,2023-09-25,2023-08-01,5,208.38,replenished
BP,108648182,Jegs,JBR1908XPR                      ,E142D                           ,2023-09-24,,6,103.92,oos?
BP,108648321,Turn 5 Inc,BH00007                         ,B251D                           ,2023-09-25,2023-08-01,6,38.84,replenished
BP,108646505,Jegs,JBR1789XL                       ,P222A                           ,2023-09-23,,7,232.42,oos?
BP,108646505,Jegs,JBR1789XR                       ,P222A                           ,2023-09-23,,7,232.42,oos?
BP,108646020,Turn 5 Inc,BH00007                         ,B251D                           ,2023-09-23,,8,38.84,oos?
BP,108645265,Jegs,L4747                           ,T482F                           ,2023-09-22,,8,69.74,oos?
BP,108651776,Turn 5 Inc,BH00116                         ,B257F                           ,2023-09-26,,8,68.18,oos?
BP,108643106,Jegs,BH00160                         ,B259A                           ,2023-09-21,,9,54.25,oos?
BP,108643695,Jegs,S4536                           ,S262B                           ,2023-09-21,,9,123.81,oos?
BP,108641879,Turn14 Distribution,JBR1908XPR                      ,E142D                           ,2023-09-21,,9,102.75,oos?
BP,108644605,Summit Racing,BH00163                         ,B259D                           ,2023-09-22,,9,281.94,oos?
BP,108644611,Summit Racing,BH00007                         ,B251D                           ,2023-09-22,,9,50.75,oos?
BP,108644612,Summit Racing,BH00161                         ,B259B                           ,2023-09-22,,9,422.91,oos?
BP,108644613,Summit Racing,BH00007                         ,B251D                           ,2023-09-22,,9,50.75,oos?
BP,108644608,Summit Racing,BH00007                         ,B251D                           ,2023-09-22,,9,50.75,oos?
BP,108644606,Summit Racing,BH00163                         ,B259D                           ,2023-09-22,,9,140.97,oos?
BP,108644276,Turn 5 Inc,BH00163                         ,B259D                           ,2023-09-22,,9,99.31,oos?
BP,108644280,Turn 5 Inc,BH00007                         ,B251D                           ,2023-09-22,,9,71.74,oos?
BP,108644277,Turn 5 Inc,BH00163                         ,B259D                           ,2023-09-22,,9,99.31,oos?
BP,108644278,Turn 5 Inc,BH00163                         ,B259D                           ,2023-09-22,,9,99.31,oos?
BP,108644282,Turn 5 Inc,BH00007                         ,B251D                           ,2023-09-22,,9,38.84,oos?
BP,108644284,Turn 5 Inc,BH00007                         ,B251D                           ,2023-09-22,,9,162.44,oos?
BP,108640126,Jegs,Z23-683                         ,M742B                           ,2023-09-20,,10,333.6,oos?
BP,108641358,Jegs,AR82194EVC                      ,U032B                           ,2023-09-20,,10,227.4,oos?
BP,108640449,Jegs,Z23-618                         ,M731F                           ,2023-09-20,,10,265.26,oos?
