month,units,gross sales,bp month end hq $,hk month end hq $,month end hq $,regular hours,regular pay,ot hours,ot pay,labor hours,labor pay,ftes,units per employee,units per hour,wage per unit,sales per employee,sales per hour,price change
2022-01,688577,"$22,325,688.00","$1,658,307.30","$4,332,949.30","$5,991,256.60",73014.25,"$1,242,942.47",9673.0,"$252,193.19",82687.25,"$1,495,135.66",549,1254,8,$2.00,"$40,666.00",$270.00,
2022-02,656478,"$22,050,831.00","$1,958,678.02","$2,095,051.69","$4,053,729.71",65927.5,"$1,126,889.85",4479.0,"$117,025.76",70406.5,"$1,243,915.61",498,1318,9,$1.00,"$44,278.00",$313.00,
2022-03,973721,"$33,892,091.00","$1,260,237.10","$4,320,356.18","$5,580,593.28",70687.0,"$2,495,266.62",6528.75,"$170,157.16",77215.75,"$2,665,423.78",598,1628,12,$2.00,"$56,675.00",$438.00,yes
2022-04,843211,"$30,598,543.00","$1,017,824.72","$345,866.18","$1,363,690.90",75359.25,"$1,290,312.88",4862.75,"$129,256.28",80222.0,"$1,419,569.16",644,1309,10,$1.00,"$47,513.00",$381.00,
2022-05,836902,"$30,088,782.00","$943,604.33","$3,629,322.49","$4,572,926.82",91029.25,"$1,553,893.86",9524.25,"$249,694.51",100553.5,"$1,803,588.37",626,1336,8,$2.00,"$48,065.00",$299.00,
2022-06,867620,"$30,829,690.00","$679,897.59","$2,752,938.79","$3,432,836.38",70420.25,"$1,201,301.78",8264.25,"$216,552.50",78684.5,"$1,417,854.28",595,1458,11,$1.00,"$51,814.00",$391.00,
2022-07,814539,"$28,017,143.00","$431,783.02","$1,046,098.90","$1,477,881.92",83589.75,"$1,462,080.28",9129.25,"$243,101.84",92719.0,"$1,705,182.12",540,1508,8,$2.00,"$51,883.00",$302.00,
2022-08,728173,"$25,873,574.00","$982,798.35","$6,819,015.25","$7,801,813.60",61904.25,"$1,082,895.00",4835.0,"$127,893.95",66739.25,"$1,210,788.95",483,1507,10,$1.00,"$53,568.00",$387.00,
2022-09,710701,"$26,298,523.00","$815,341.02","$7,982,699.96","$8,798,040.98",62049.0,"$1,072,411.43",7642.5,"$199,948.35",69691.5,"$1,272,359.78",504,1410,10,$1.00,"$52,179.00",$377.00,
2022-10,847713,"$30,668,231.00","$936,984.42","$3,355,185.51","$4,292,169.93",77748.25,"$1,335,805.19",8482.0,"$220,244.15",86230.25,"$1,556,049.34",502,1688,9,$1.00,"$61,092.00",$355.00,
2022-11,631334,"$22,945,789.00","$597,146.14","$3,226,113.09","$3,823,259.23",58292.25,"$1,027,957.48",4544.75,"$122,776.80",62837.0,"$1,150,734.28",435,1451,10,$1.00,"$52,748.00",$365.00,
2022-12,495697,"$18,517,641.00","$747,548.06","$4,058,173.64","$4,805,721.70",55827.25,"$992,122.76",5777.75,"$158,004.01",61605.0,"$1,150,126.77",438,1131,8,$2.00,"$42,277.00",$300.00,
