,month,cat,predicted units,predicted sales,hk 2021-2023 sale,top demand account,customer,business channel,department
0,2023-04,CAL,6421,897118,1917588685.86,900003OH,Summit Racing,B2B,performance
1,2023-04,COL,169,17955,3840686.01,902760,Turn 5 Inc,B2B,performance
3,2023-04,OEC,2919,136550,1594007689.19,903670,Factory Motor Parts,WD,WD
5,2023-04,ESP,830,23364,158764905.62,903670,Factory Motor Parts,WD,WD
6,2023-04,NXT,7777,192535,1002190007.74,903580,Parts Authority,WD,WD
9,2023-04,PST,386,16754,94581283.8,903670,Factory Motor Parts,WD,WD
10,2023-04,SHS,12228,223676,1545172204.99,903670,Factory Motor Parts,WD,WD
12,2023-04,Z16,10605,238752,2650234635.87,903580,Parts Authority,WD,WD
13,2023-04,Z17,191656,4384977,17227474102.64,903670,Factory Motor Parts,WD,WD
14,2023-04,Z23,10151,392381,1826978746.87,903670,Factory Motor Parts,WD,WD
15,2023-04,Z26,5248,267827,617743510.47,903670,Factory Motor Parts,WD,WD
16,2023-04,Z36,22493,990639,2830528328.65,903670,Factory Motor Parts,WD,WD
17,2023-04,Z37,805,33516,208083238.28,903670,Factory Motor Parts,WD,WD
20,2023-04,C36,1253,691071,461130720.68,900066,Amazon,B2B,performance
21,2023-04,CRK,5805,930315,1054127473.62,900066,Amazon,B2B,performance
22,2023-04,DBU,90,75001,14130145.74,900066,Amazon,B2B,performance
24,2023-04,ESK,329,59014,196313381.83,903670,Factory Motor Parts,WD,WD
29,2023-04,K26,4000,979776,1390169003.06,900003OH,Summit Racing,B2B,performance
30,2023-04,K36,12934,3555453,2717213177.05,900066,Amazon,B2B,performance
34,2023-04,KIT,16908,3896217,5713813086.4,900066,Amazon,B2B,performance
38,2023-04,OEK,28463,3556390,3800050074.23,900066,Amazon,B2B,performance
41,2023-04,TDK,52,6329,11982265.790000001,903670,Factory Motor Parts,WD,WD
42,2023-04,TDS,26,4141,20337270.790000003,903980,Parts Authority,WD,WD
45,2023-04,DSL,12472,1735204,3159320413.06,903670,Factory Motor Parts,WD,WD
47,2023-04,EVC,67900,2968032,10163241965.35,900120,TPH Holdings,WD,WD
52,2023-04,RTR,10506,435285,3632347374.5,900120,TPH Holdings,WD,WD
53,2023-04,SCR,8700,322224,351980464.71999997,900120,TPH Holdings,WD,WD
58,2023-04,BRG,4477,135003,8736139.95,902830,Car Parts Warehouse,WD,WD
60,2023-04,DRM,329,18293,81654738.36,903670,Factory Motor Parts,WD,WD
62,2023-04,HDW,4552,8227,1923421.39,903670,Factory Motor Parts,WD,WD
66,2023-04,PBK,535,2599,16349008.49,900003OH,Summit Racing,B2B,performance
67,2023-04,PRO,564,640,1489520.43,903580,Parts Authority,WD,WD
68,2023-04,SBH,789,70856,130057049.91,903670,Factory Motor Parts,WD,WD
69,2023-04,SEN,2957,25748,619012195.13,903670,Factory Motor Parts,WD,WD
81,2023-05,CAL,6177,863312,1917588685.86,900003OH,Summit Racing,B2B,performance
82,2023-05,COL,137,12844,3840686.01,902760,Turn 5 Inc,B2B,performance
84,2023-05,OEC,2828,135762,1594007689.19,903670,Factory Motor Parts,WD,WD
86,2023-05,ESP,643,17965,158764905.62,903670,Factory Motor Parts,WD,WD
87,2023-05,NXT,5292,130959,1002190007.74,903580,Parts Authority,WD,WD
90,2023-05,PST,205,14934,94581283.8,903670,Factory Motor Parts,WD,WD
91,2023-05,SHS,11490,210082,1545172204.99,903670,Factory Motor Parts,WD,WD
93,2023-05,Z16,11029,248191,2650234635.87,903580,Parts Authority,WD,WD
94,2023-05,Z17,170776,3917546,17227474102.64,903670,Factory Motor Parts,WD,WD
95,2023-05,Z23,10927,425506,1826978746.87,903670,Factory Motor Parts,WD,WD
96,2023-05,Z26,5298,275243,617743510.47,903670,Factory Motor Parts,WD,WD
97,2023-05,Z36,22452,991064,2830528328.65,903670,Factory Motor Parts,WD,WD
98,2023-05,Z37,947,39315,208083238.28,903670,Factory Motor Parts,WD,WD
101,2023-05,C36,1323,721616,461130720.68,900066,Amazon,B2B,performance
102,2023-05,CRK,7318,1179469,1054127473.62,900066,Amazon,B2B,performance
103,2023-05,DBU,85,65459,14130145.74,900066,Amazon,B2B,performance
105,2023-05,ESK,340,60889,196313381.83,903670,Factory Motor Parts,WD,WD
110,2023-05,K26,3141,835599,1390169003.06,900003OH,Summit Racing,B2B,performance
111,2023-05,K36,8518,2717715,2717213177.05,900066,Amazon,B2B,performance
115,2023-05,KIT,16466,3865948,5713813086.4,900066,Amazon,B2B,performance
119,2023-05,OEK,36260,4529796,3800050074.23,900066,Amazon,B2B,performance
122,2023-05,TDK,43,5894,11982265.790000001,903670,Factory Motor Parts,WD,WD
123,2023-05,TDS,16,2155,20337270.790000003,903980,Parts Authority,WD,WD
126,2023-05,DSL,9600,1331833,3159320413.06,903670,Factory Motor Parts,WD,WD
128,2023-05,EVC,59341,2595133,10163241965.35,900120,TPH Holdings,WD,WD
133,2023-05,RTR,10117,413241,3632347374.5,900120,TPH Holdings,WD,WD
134,2023-05,SCR,10458,389014,351980464.71999997,900120,TPH Holdings,WD,WD
139,2023-05,BRG,3903,117588,8736139.95,902830,Car Parts Warehouse,WD,WD
141,2023-05,DRM,293,16153,81654738.36,903670,Factory Motor Parts,WD,WD
143,2023-05,HDW,3839,5272,1923421.39,903670,Factory Motor Parts,WD,WD
147,2023-05,PBK,499,2446,16349008.49,900003OH,Summit Racing,B2B,performance
149,2023-05,SBH,901,81885,130057049.91,903670,Factory Motor Parts,WD,WD
150,2023-05,SEN,2897,25046,619012195.13,903670,Factory Motor Parts,WD,WD
162,2023-06,CAL,6066,868127,1917588685.86,900003OH,Summit Racing,B2B,performance
163,2023-06,COL,138,12895,3840686.01,902760,Turn 5 Inc,B2B,performance
165,2023-06,OEC,2592,122817,1594007689.19,903670,Factory Motor Parts,WD,WD
167,2023-06,ESP,510,14380,158764905.62,903670,Factory Motor Parts,WD,WD
